"date","year","month","month_date","weekday","coal","gas","oil","nuclear","hydro","wind","solar","other","unit","fossil","low.carbon","total.prod","coal.perc","gas.perc","oil.perc","nuclear.perc","hydro.perc","wind.perc","solar.perc","other.perc","fossil.perc","low.carbon.perc"
2016-01-01,2016,1,"1_1","Friday",2749.25041935484,172.914870967742,17.8489677419355,93.0677741935484,221.583193548387,36.1847419354839,25.1908387096774,107.787838709677,"GWh",2940.01425806452,483.814387096774,3423.82864516129,0.80297547111191,0.0505033659357086,0.0052131603511059,0.0271823691658974,0.0647179565664124,0.0105685025991653,0.0073575056816229,0.0314816685881778,0.858691997398724,0.141308002601276
2016-01-02,2016,1,"1_2","Saturday",2749.25041935484,172.914870967742,17.8489677419355,93.0677741935484,221.583193548387,36.1847419354839,25.1908387096774,107.787838709677,"GWh",2940.01425806452,483.814387096774,3423.82864516129,0.80297547111191,0.0505033659357086,0.0052131603511059,0.0271823691658974,0.0647179565664124,0.0105685025991653,0.0073575056816229,0.0314816685881778,0.858691997398724,0.141308002601276
2016-01-03,2016,1,"1_3","Sunday",2749.25041935484,172.914870967742,17.8489677419355,93.0677741935484,221.583193548387,36.1847419354839,25.1908387096774,107.787838709677,"GWh",2940.01425806452,483.814387096774,3423.82864516129,0.80297547111191,0.0505033659357086,0.0052131603511059,0.0271823691658974,0.0647179565664124,0.0105685025991653,0.0073575056816229,0.0314816685881778,0.858691997398724,0.141308002601276
2016-01-04,2016,1,"1_4","Monday",2749.25041935484,172.914870967742,17.8489677419355,93.0677741935484,221.583193548387,36.1847419354839,25.1908387096774,107.787838709677,"GWh",2940.01425806452,483.814387096774,3423.82864516129,0.80297547111191,0.0505033659357086,0.0052131603511059,0.0271823691658974,0.0647179565664124,0.0105685025991653,0.0073575056816229,0.0314816685881778,0.858691997398724,0.141308002601276
2016-01-05,2016,1,"1_5","Tuesday",2749.25041935484,172.914870967742,17.8489677419355,93.0677741935484,221.583193548387,36.1847419354839,25.1908387096774,107.787838709677,"GWh",2940.01425806452,483.814387096774,3423.82864516129,0.80297547111191,0.0505033659357086,0.0052131603511059,0.0271823691658974,0.0647179565664124,0.0105685025991653,0.0073575056816229,0.0314816685881778,0.858691997398724,0.141308002601276
2016-01-06,2016,1,"1_6","Wednesday",2749.25041935484,172.914870967742,17.8489677419355,93.0677741935484,221.583193548387,36.1847419354839,25.1908387096774,107.787838709677,"GWh",2940.01425806452,483.814387096774,3423.82864516129,0.80297547111191,0.0505033659357086,0.0052131603511059,0.0271823691658974,0.0647179565664124,0.0105685025991653,0.0073575056816229,0.0314816685881778,0.858691997398724,0.141308002601276
2016-01-07,2016,1,"1_7","Thursday",2749.25041935484,172.914870967742,17.8489677419355,93.0677741935484,221.583193548387,36.1847419354839,25.1908387096774,107.787838709677,"GWh",2940.01425806452,483.814387096774,3423.82864516129,0.80297547111191,0.0505033659357086,0.0052131603511059,0.0271823691658974,0.0647179565664124,0.0105685025991653,0.0073575056816229,0.0314816685881778,0.858691997398724,0.141308002601276
2016-01-08,2016,1,"1_8","Friday",2749.25041935484,172.914870967742,17.8489677419355,93.0677741935484,221.583193548387,36.1847419354839,25.1908387096774,107.787838709677,"GWh",2940.01425806452,483.814387096774,3423.82864516129,0.80297547111191,0.0505033659357086,0.0052131603511059,0.0271823691658974,0.0647179565664124,0.0105685025991653,0.0073575056816229,0.0314816685881778,0.858691997398724,0.141308002601276
2016-01-09,2016,1,"1_9","Saturday",2749.25041935484,172.914870967742,17.8489677419355,93.0677741935484,221.583193548387,36.1847419354839,25.1908387096774,107.787838709677,"GWh",2940.01425806452,483.814387096774,3423.82864516129,0.80297547111191,0.0505033659357086,0.0052131603511059,0.0271823691658974,0.0647179565664124,0.0105685025991653,0.0073575056816229,0.0314816685881778,0.858691997398724,0.141308002601276
2016-01-10,2016,1,"1_10","Sunday",2749.25041935484,172.914870967742,17.8489677419355,93.0677741935484,221.583193548387,36.1847419354839,25.1908387096774,107.787838709677,"GWh",2940.01425806452,483.814387096774,3423.82864516129,0.80297547111191,0.0505033659357086,0.0052131603511059,0.0271823691658974,0.0647179565664124,0.0105685025991653,0.0073575056816229,0.0314816685881778,0.858691997398724,0.141308002601276
2016-01-11,2016,1,"1_11","Monday",2749.25041935484,172.914870967742,17.8489677419355,93.0677741935484,221.583193548387,36.1847419354839,25.1908387096774,107.787838709677,"GWh",2940.01425806452,483.814387096774,3423.82864516129,0.80297547111191,0.0505033659357086,0.0052131603511059,0.0271823691658974,0.0647179565664124,0.0105685025991653,0.0073575056816229,0.0314816685881778,0.858691997398724,0.141308002601276
2016-01-12,2016,1,"1_12","Tuesday",2749.25041935484,172.914870967742,17.8489677419355,93.0677741935484,221.583193548387,36.1847419354839,25.1908387096774,107.787838709677,"GWh",2940.01425806452,483.814387096774,3423.82864516129,0.80297547111191,0.0505033659357086,0.0052131603511059,0.0271823691658974,0.0647179565664124,0.0105685025991653,0.0073575056816229,0.0314816685881778,0.858691997398724,0.141308002601276
2016-01-13,2016,1,"1_13","Wednesday",2749.25041935484,172.914870967742,17.8489677419355,93.0677741935484,221.583193548387,36.1847419354839,25.1908387096774,107.787838709677,"GWh",2940.01425806452,483.814387096774,3423.82864516129,0.80297547111191,0.0505033659357086,0.0052131603511059,0.0271823691658974,0.0647179565664124,0.0105685025991653,0.0073575056816229,0.0314816685881778,0.858691997398724,0.141308002601276
